frame,center
1,439.0
2,437.0
3,440.0
4,440.0
5,432.0
6,439.0
7,438.0
8,437.0
9,440.0
10,440.0
11,440.0
12,440.0
13,437.0
14,430.0
15,431.0
16,440.0
17,440.0
18,439.0
19,436.0
20,441.0
21,442.0
22,437.0
23,437.0
24,442.0
25,442.0
26,438.0
27,431.0
28,437.0
29,437.0
30,438.0
31,439.0
32,441.0
33,439.0
34,438.0
35,440.0
36,439.0
37,441.0
38,441.0
39,443.0
40,444.0
41,440.0
42,439.0
43,440.0
44,440.0
45,443.0
46,442.0
47,444.0
48,440.0
49,439.0
50,442.0
51,440.0
52,438.0
53,441.0
54,435.0
55,430.0
56,438.0
57,439.0
58,440.0
59,439.0
60,440.0
61,440.0
