file,frame_count,frame_last,lost_frame_count
1,77,77,0
2,76,76,0
3,61,61,0
4,73,73,0
5,77,77,0
6,60,60,0
7,60,60,0
8,60,60,0
9,61,61,0
10,61,61,0
11,78,78,0
12,38,43,5
13,77,77,0
14,77,77,0
15,69,69,0
16,73,73,0
17,76,76,0
18,70,77,7
19,67,72,5
20,74,74,0
21,78,78,0
22,61,61,0
23,42,61,19
24,48,61,13
25,51,58,7
26,61,61,0
27,51,51,0
28,55,59,4
29,59,59,0
30,80,80,0
31,79,79,0
32,77,77,0
33,80,80,0
34,68,68,0
35,38,38,0
36,61,61,0
37,57,57,0
38,69,69,0
39,60,60,0
40,54,54,0
41,0,54,54
42,72,72,0
43,60,60,0
44,61,61,0
45,78,78,0
46,78,78,0
47,78,78,0
48,79,79,0
49,73,73,0
50,55,55,0
51,61,61,0
52,55,55,0
53,0,55,55
54,61,61,0
55,61,61,0
56,55,55,0
57,76,76,0
58,74,74,0
59,0,74,74
60,84,84,0
61,57,61,4
62,60,60,0
63,6,33,27
64,72,72,0
65,74,74,0
66,76,76,0
67,73,73,0
68,76,76,0
69,55,78,23
70,61,61,0
71,61,61,0
72,61,61,0
73,68,72,4
74,72,72,0
75,74,74,0
76,75,75,0
77,74,74,0
78,73,73,0
79,72,72,0
80,55,73,18
81,77,77,0
82,71,71,0
83,61,61,0
84,61,61,0
85,76,76,0
86,21,29,8
87,65,65,0
88,65,65,0
89,32,61,29
90,61,61,0
91,60,60,0
92,61,61,0
93,61,61,0
94,48,49,1
95,75,75,0
96,77,77,0
97,60,60,0
98,58,58,0
99,73,73,0
100,70,73,3
101,64,72,8
102,72,72,0
103,73,73,0
104,68,68,0
105,71,71,0
106,61,61,0
107,73,73,0
108,58,75,17
109,61,61,0
110,61,61,0
111,61,61,0
112,61,61,0
113,60,60,0
114,61,61,0
115,48,54,6
116,76,76,0
117,71,71,0
118,75,75,0
119,75,75,0
120,60,72,12
121,61,61,0
122,75,75,0
123,75,75,0
124,52,54,2
125,61,61,0
126,75,75,0
127,61,61,0
128,71,71,0
129,68,68,0
130,70,70,0
131,69,69,0
132,79,79,0
133,79,79,0
134,50,50,0
135,77,77,0
136,61,61,0
137,55,60,5
138,60,61,1
139,61,61,0
140,61,61,0
141,55,55,0
142,75,75,0
143,72,72,0
144,33,73,40
