2022-01-09 13:01:12.867329: iter: [1/100], train_loss: 2.196398, valid_loss: 2.064136, best_valid_loss: 2.064136, lr: 0.0010000
2022-01-09 13:01:13.668780: iter: [2/100], train_loss: 1.759770, valid_loss: 1.333020, best_valid_loss: 1.333020, lr: 0.0010000
2022-01-09 13:01:14.450807: iter: [3/100], train_loss: 1.177491, valid_loss: 1.132339, best_valid_loss: 1.132339, lr: 0.0010000
2022-01-09 13:01:15.211256: iter: [4/100], train_loss: 1.089092, valid_loss: 1.095765, best_valid_loss: 1.095765, lr: 0.0010000
2022-01-09 13:01:15.985773: iter: [5/100], train_loss: 1.076681, valid_loss: 1.087812, best_valid_loss: 1.087812, lr: 0.0010000
2022-01-09 13:01:16.646625: iter: [6/100], train_loss: 1.063955, valid_loss: 1.089140, best_valid_loss: 1.087812, lr: 0.0010000
2022-01-09 13:01:17.385188: iter: [7/100], train_loss: 1.064252, valid_loss: 1.082704, best_valid_loss: 1.082704, lr: 0.0010000
2022-01-09 13:01:18.167700: iter: [8/100], train_loss: 1.063682, valid_loss: 1.080743, best_valid_loss: 1.080743, lr: 0.0010000
2022-01-09 13:01:18.979121: iter: [9/100], train_loss: 1.057294, valid_loss: 1.080228, best_valid_loss: 1.080228, lr: 0.0010000
2022-01-09 13:01:19.704517: iter: [10/100], train_loss: 1.053858, valid_loss: 1.077672, best_valid_loss: 1.077672, lr: 0.0010000
2022-01-09 13:01:20.503040: iter: [11/100], train_loss: 1.054231, valid_loss: 1.076983, best_valid_loss: 1.076983, lr: 0.0010000
2022-01-09 13:01:21.206134: iter: [12/100], train_loss: 1.061887, valid_loss: 1.078611, best_valid_loss: 1.076983, lr: 0.0010000
2022-01-09 13:01:21.962427: iter: [13/100], train_loss: 1.049925, valid_loss: 1.075102, best_valid_loss: 1.075102, lr: 0.0010000
2022-01-09 13:01:22.706475: iter: [14/100], train_loss: 1.048696, valid_loss: 1.073985, best_valid_loss: 1.073985, lr: 0.0010000
2022-01-09 13:01:23.462557: iter: [15/100], train_loss: 1.052883, valid_loss: 1.074767, best_valid_loss: 1.073985, lr: 0.0010000
2022-01-09 13:01:24.278332: iter: [16/100], train_loss: 1.045962, valid_loss: 1.073684, best_valid_loss: 1.073684, lr: 0.0010000
2022-01-09 13:01:25.035274: iter: [17/100], train_loss: 1.057843, valid_loss: 1.075623, best_valid_loss: 1.073684, lr: 0.0010000
2022-01-09 13:01:25.764705: iter: [18/100], train_loss: 1.051388, valid_loss: 1.077810, best_valid_loss: 1.073684, lr: 0.0010000
2022-01-09 13:01:26.693482: iter: [19/100], train_loss: 1.051558, valid_loss: 1.072134, best_valid_loss: 1.072134, lr: 0.0010000
2022-01-09 13:01:27.485181: iter: [20/100], train_loss: 1.056756, valid_loss: 1.074339, best_valid_loss: 1.072134, lr: 0.0010000
2022-01-09 13:01:28.428845: iter: [21/100], train_loss: 1.054140, valid_loss: 1.068028, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:29.297318: iter: [22/100], train_loss: 1.066239, valid_loss: 1.073515, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:30.493761: iter: [23/100], train_loss: 1.054479, valid_loss: 1.070800, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:31.509471: iter: [24/100], train_loss: 1.045899, valid_loss: 1.070222, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:32.324947: iter: [25/100], train_loss: 1.045080, valid_loss: 1.073562, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:33.087419: iter: [26/100], train_loss: 1.054176, valid_loss: 1.073933, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:33.850508: iter: [27/100], train_loss: 1.049591, valid_loss: 1.070657, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:34.619049: iter: [28/100], train_loss: 1.049108, valid_loss: 1.077086, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:35.336630: iter: [29/100], train_loss: 1.048079, valid_loss: 1.072657, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:36.033668: iter: [30/100], train_loss: 1.042112, valid_loss: 1.071034, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:36.852041: iter: [31/100], train_loss: 1.050710, valid_loss: 1.071719, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:37.543896: iter: [32/100], train_loss: 1.047244, valid_loss: 1.068192, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:38.290411: iter: [33/100], train_loss: 1.050528, valid_loss: 1.072593, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:39.012855: iter: [34/100], train_loss: 1.045124, valid_loss: 1.072388, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:39.786727: iter: [35/100], train_loss: 1.046445, valid_loss: 1.072267, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:40.675451: iter: [36/100], train_loss: 1.040422, valid_loss: 1.071469, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:41.543013: iter: [37/100], train_loss: 1.052111, valid_loss: 1.070634, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:42.331513: iter: [38/100], train_loss: 1.053448, valid_loss: 1.071460, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:43.098081: iter: [39/100], train_loss: 1.044787, valid_loss: 1.068101, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:43.900108: iter: [40/100], train_loss: 1.045315, valid_loss: 1.069016, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:44.646663: iter: [41/100], train_loss: 1.050495, valid_loss: 1.073533, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:45.460413: iter: [42/100], train_loss: 1.048879, valid_loss: 1.068424, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:46.283792: iter: [43/100], train_loss: 1.048677, valid_loss: 1.070344, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:47.062908: iter: [44/100], train_loss: 1.048602, valid_loss: 1.070195, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:47.875700: iter: [45/100], train_loss: 1.051256, valid_loss: 1.072226, best_valid_loss: 1.068028, lr: 0.0010000
2022-01-09 13:01:48.676302: iter: [46/100], train_loss: 1.049193, valid_loss: 1.067346, best_valid_loss: 1.067346, lr: 0.0010000
2022-01-09 13:01:49.315352: iter: [47/100], train_loss: 1.050589, valid_loss: 1.074707, best_valid_loss: 1.067346, lr: 0.0010000
2022-01-09 13:01:49.982224: iter: [48/100], train_loss: 1.057065, valid_loss: 1.070523, best_valid_loss: 1.067346, lr: 0.0010000
2022-01-09 13:01:50.693908: iter: [49/100], train_loss: 1.048252, valid_loss: 1.067319, best_valid_loss: 1.067319, lr: 0.0010000
2022-01-09 13:01:51.373948: iter: [50/100], train_loss: 1.047393, valid_loss: 1.072297, best_valid_loss: 1.067319, lr: 0.0010000
2022-01-09 13:01:52.105552: iter: [51/100], train_loss: 1.050196, valid_loss: 1.073469, best_valid_loss: 1.067319, lr: 0.0001000
2022-01-09 13:01:52.803742: iter: [52/100], train_loss: 1.046576, valid_loss: 1.072424, best_valid_loss: 1.067319, lr: 0.0001000
2022-01-09 13:01:53.507710: iter: [53/100], train_loss: 1.043050, valid_loss: 1.071672, best_valid_loss: 1.067319, lr: 0.0001000
2022-01-09 13:01:54.177061: iter: [54/100], train_loss: 1.051816, valid_loss: 1.071330, best_valid_loss: 1.067319, lr: 0.0001000
2022-01-09 13:01:54.857795: iter: [55/100], train_loss: 1.041498, valid_loss: 1.068750, best_valid_loss: 1.067319, lr: 0.0001000
2022-01-09 13:01:55.564184: iter: [56/100], train_loss: 1.051921, valid_loss: 1.073362, best_valid_loss: 1.067319, lr: 0.0001000
2022-01-09 13:01:56.301878: iter: [57/100], train_loss: 1.043120, valid_loss: 1.070279, best_valid_loss: 1.067319, lr: 0.0001000
2022-01-09 13:01:56.994406: iter: [58/100], train_loss: 1.044825, valid_loss: 1.070416, best_valid_loss: 1.067319, lr: 0.0001000
2022-01-09 13:01:57.680573: iter: [59/100], train_loss: 1.044866, valid_loss: 1.068997, best_valid_loss: 1.067319, lr: 0.0001000
2022-01-09 13:01:58.363922: iter: [60/100], train_loss: 1.048155, valid_loss: 1.070455, best_valid_loss: 1.067319, lr: 0.0001000
