,train_loss,valid_loss
0,2.692476468,2.63313365
1,2.5555276,2.42268765
2,2.203700521,1.830623686
3,1.530801621,1.456659615
4,1.211819031,1.242307961
5,1.112704071,1.204178095
6,1.089226793,1.212855935
7,1.075848661,1.2091254
8,1.077571663,1.130868673
9,1.077701655,1.076182991
10,1.075646953,1.26068604
11,1.077379433,1.064269632
12,1.077124216,1.205495179
13,1.076676082,1.053756952
14,1.072848553,1.172250926
15.0,2.6893085566433994,2.654932141304016
16.0,2.551380070773038,2.4696781635284424
17.0,2.1917996298183096,1.9130947589874268
18.0,1.5165934454311023,1.484795868396759
19.0,1.2145742828195745,1.1852492988109589
20.0,1.1154157790270718,1.2001060247421265
21.0,1.0865196639841253,1.1805405616760254
22.0,1.074989671056921,1.1609479784965515
23.0,1.0748481967232444,1.1008241176605225
24.0,1.0767206387086348,1.142008900642395
25.0,1.0748343738642605,1.1361595392227173
26.0,1.0726517818190835,1.1771769523620605
27.0,1.073770734396848,1.094917356967926
28.0,1.074756297198209,1.1362003684043884
29.0,1.07408959757198,1.2064239382743835
